,Access Order,ID,Name,Continent,Country,Web Link,Star Rating,Elevation Change (m),Base Elevation (m),Max Elevation (m),Total Piste Length (km),Blue Piste Length (km),Red Piste Length (km),Black Piste Length (km),Ski Lifts,Ski Pass Cost,Photo URL,Photo,Page Link
0,1,119,Obertauern,Europe,Austria,https://www.skiresort.info/ski-resort/obertauern/,4.5,683 m,1630 m,2313 m,100 km,61 km,35 km,4 km,26 ski lifts,"€ 49,-",https://www.skiresort.info/typo3temp/assets/_processed_/dd/d0/07/7b/f9290b2337.jpg,Obertauern_IDresort119.jpg,https://www.skiresort.info/ski-resorts/page/1/
1,2,107,Lermoos – Grubigstein,Europe,Austria,https://www.skiresort.info/ski-resort/lermoos-grubigstein/,4,1096 m,1004 m,2100 m,27.3 km,12.8 km,12.6 km,1.9 km,8 ski lifts,€ 49.50,https://www.skiresort.info/typo3temp/_processed_/e6/6d/da/ad/4d04fc7a3f.jpg,Lermoos_–_Grubigstein_IDresort107.jpg,https://www.skiresort.info/ski-resorts/page/1/
2,3,72,Spieljoch – Fügen,Europe,Austria,https://www.skiresort.info/ski-resort/spieljoch-fuegen/,3.7,1404 m,650 m,2054 m,17.1 km,3.6 km,10.8 km,2.7 km,7 ski lifts,"€ 59,-",https://www.skiresort.info/typo3temp/_processed_/2b/b8/81/17/7bc408856c.jpg,Spieljoch_–_Fügen_IDresort72.jpg,https://www.skiresort.info/ski-resorts/page/1/
3,4,40,Steinplatte/Winklmoosalm – Waidring/Reit im Winkl,Europe,Austria,https://www.skiresort.info/ski-resort/steinplattewinklmoosalm-waidringreit-im-winkl/,4.1,1120 m,740 m,1860 m,42 km,18 km,22 km,2 km,14 ski lifts,"€ 50,-",https://www.skiresort.info/typo3temp/_processed_/42/2f/fb/b1/b0f064590e.jpg,Steinplatte/Winklmoosalm_–_Waidring/Reit_im_Winkl_IDresort40.jpg,https://www.skiresort.info/ski-resorts/page/1/
4,5,158,Ski Juwel Alpbachtal Wildschönau,Europe,Austria,https://www.skiresort.info/ski-resort/ski-juwel-alpbachtal-wildschoenau/,4.2,1195 m,830 m,2025 m,90.9 km,25.1 km,53.1 km,12.7 km,46 ski lifts,"€ 51,-",https://www.skiresort.info/typo3temp/_processed_/71/1b/bb/b7/bb755f0c0c.jpg,Ski_Juwel_Alpbachtal_Wildschönau_IDresort158.jpg,https://www.skiresort.info/ski-resorts/page/1/
5,6,1575,Carezza Ski,Europe,Italy,https://www.skiresort.info/ski-resort/carezza-ski/,4,1155 m,1182 m,2337 m,40 km,19 km,16.2 km,4.8 km,12 ski lifts,€ 49.50,https://www.skiresort.info/typo3temp/_processed_/0f/f5/5e/e0/8fcd580fdc.jpg,Carezza_Ski_IDresort1575.jpg,https://www.skiresort.info/ski-resorts/page/1/
6,7,59,Tauplitz – Bad Mitterndorf,Europe,Austria,https://www.skiresort.info/ski-resort/tauplitz-bad-mitterndorf/,4,1069 m,896 m,1965 m,43.5 km,18.5 km,19 km,6 km,17 ski lifts,"€ 44,-",https://www.skiresort.info/typo3temp/_processed_/38/83/3b/ba/e8183bb3c5.jpg,Tauplitz_–_Bad_Mitterndorf_IDresort59.jpg,https://www.skiresort.info/ski-resorts/page/1/
7,8,208,Val Gardena (Gröden),Europe,Italy,https://www.skiresort.info/ski-resort/val-gardena-groeden/,4.7,1282 m,1236 m,2518 m,178 km,52 km,105 km,21 km,79 ski lifts,"€ 64,-",https://www.skiresort.info/typo3temp/_processed_/1b/b4/4f/f4/022af06838.jpg,Val_Gardena_(Gröden)_IDresort208.jpg,https://www.skiresort.info/ski-resorts/page/1/
8,9,219,Racines-Giovo (Ratschings-Jaufen)/Malga Calice (Kalcheralm),Europe,Italy,https://www.skiresort.info/ski-resort/racines-giovo-ratschings-jaufenmalga-calice-kalcheralm/,4,800 m,1300 m,2100 m,25 km,4 km,21 km,0 km,8 ski lifts,"€ 50,-",https://www.skiresort.info/typo3temp/_processed_/33/31/15/50/74813aceb6.jpg,Racines-Giovo_(Ratschings-Jaufen)/Malga_Calice_(Kalcheralm)_IDresort219.jpg,https://www.skiresort.info/ski-resorts/page/1/
9,10,117,Wildkogel – Neukirchen/Bramberg,Europe,Austria,https://www.skiresort.info/ski-resort/wildkogel-neukirchenbramberg/,4.4,1330 m,820 m,2150 m,75 km,35 km,30 km,10 km,20 ski lifts,€ 50.50,https://www.skiresort.info/typo3temp/_processed_/5a/a5/5e/ed/b64371512a.jpg,Wildkogel_–_Neukirchen/Bramberg_IDresort117.jpg,https://www.skiresort.info/ski-resorts/page/1/
10,11,169,Arosa Lenzerheide,Europe,Switzerland,https://www.skiresort.info/ski-resort/arosa-lenzerheide/,4.7,1636 m,1229 m,2865 m,225 km,110 km,87 km,28 km,43 ski lifts,"SFr. 84,- / approx. € 76,-",https://www.skiresort.info/typo3temp/_processed_/8a/ad/de/ec/dca788690f.jpg,Arosa_Lenzerheide_IDresort169.jpg,https://www.skiresort.info/ski-resorts/page/1/
11,12,138,Sillian – Thurntaler (Hochpustertal),Europe,Austria,https://www.skiresort.info/ski-resort/sillian-thurntaler-hochpustertal/,3.8,1307 m,1100 m,2407 m,22.4 km,5.3 km,16.1 km,1 km,7 ski lifts,"€ 50,-",https://www.skiresort.info/typo3temp/_processed_/43/32/24/4f/3ba5e95937.jpg,Sillian_–_Thurntaler_(Hochpustertal)_IDresort138.jpg,https://www.skiresort.info/ski-resorts/page/1/
12,13,63,Damüls Mellau,Europe,Austria,https://www.skiresort.info/ski-resort/damuels-mellau/,4.2,1340 m,710 m,2050 m,80.6 km,29.9 km,48.8 km,1.9 km,20 ski lifts,"€ 54,-",https://www.skiresort.info/typo3temp/_processed_/ad/da/a4/47/90b7a3895f.jpg,Damüls_Mellau_IDresort63.jpg,https://www.skiresort.info/ski-resorts/page/1/
13,14,477,Latemar – Obereggen/Pampeago/Predazzo,Europe,Italy,https://www.skiresort.info/ski-resort/latemar-obereggenpampeagopredazzo/,4.3,848 m,1540 m,2388 m,49 km,9.3 km,32.8 km,6.9 km,18 ski lifts,"€ 52,-",https://www.skiresort.info/typo3temp/_processed_/80/06/6f/f4/3330d3a694.jpg,Latemar_–_Obereggen/Pampeago/Predazzo_IDresort477.jpg,https://www.skiresort.info/ski-resorts/page/1/
14,15,97,Kitzbühel/Kirchberg – KitzSki,Europe,Austria,https://www.skiresort.info/ski-resort/kitzbuehelkirchberg-kitzski/,4.9,1200 m,800 m,2000 m,181 km,94 km,67 km,20 km,57 ski lifts,€ 59.50,https://www.skiresort.info/typo3temp/assets/_processed_/34/42/28/8d/dff01fb6d5.jpg,Kitzbühel/Kirchberg_–_KitzSki_IDresort97.jpg,https://www.skiresort.info/ski-resorts/page/1/
15,16,91,Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),Europe,Austria,https://www.skiresort.info/ski-resort/kaltenbach-hochzillertalhochfuegen-ski-optimal/,4.7,1778 m,600 m,2378 m,85.6 km,29.7 km,41.3 km,14.6 km,36 ski lifts,"€ 59,-",https://www.skiresort.info/typo3temp/_processed_/8e/e8/89/98/cdd34e698e.jpg,Kaltenbach_–_Hochzillertal/Hochfügen_(SKi-optimal)_IDresort91.jpg,https://www.skiresort.info/ski-resorts/page/1/
16,17,141,SkiWelt Wilder Kaiser-Brixental,Europe,Austria,https://www.skiresort.info/ski-resort/skiwelt-wilder-kaiser-brixental/,4.8,1337 m,620 m,1957 m,288 km,126 km,127 km,35 km,90 ski lifts,€ 55.50,https://www.skiresort.info/typo3temp/_processed_/ed/d4/41/15/bf0f1942ef.jpg,SkiWelt_Wilder_Kaiser-Brixental_IDresort141.jpg,https://www.skiresort.info/ski-resorts/page/1/
